id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
165,ddUddd,"Ulll Ulllll lll Ulllll Ullllllllll, Ull",dd,dd,l
166,ddUddd,Ulll Ulllll lll Ullll lll Ullllllll Ullllllllll ll,dd,dd,l
167,ddUddd,Ulll Ulllll lll Ulllll Ullllll: Ulllll  ll Ullllll,ddd,ddd,dd
168,ddUddd,Ulllllll Ullllll ll Ullllll lll lll  Ullllllllll,dd,dd,l
169,ddUddd,Ulllllll Ulllll lll Ullll & Ullllll,dd,dd,d
170,ddUddd,UUUUUU UUUU UU @ UUUUUU UUUUU,ddd,ddd,dd
171,ddUddd,UUUUU UUUUUU UUU,ddd,ddd,dd
172,ddUddd,UUUU UUUUUUU UU,dd,dd,l
173,ddUddd,UUUUUU U. UUUUUU UU,l,l,l
174,ddUddd,UUUUUUUU UU,dd,dd,l
175,ddUddd,UUUU UUU UUUU UUUUUU UUUUUUU,l,l,l
176,ddUddd,UUUUUUUU U UUUU UUUU UUUUUU,dd,dd,l
177,ddUddd,Ulll Ulllll lll Ullll Ulllll,dd,dd,l
178,ddUddd,Ulllllllll Ulll lll Ulllllllll Ulll Ulllll,l,l,l
179,ddUddd,Ullll Ullllll lll Ullll Ullllllll Ulllll Ulll Ulll,dd,dd,l
180,ddUddd,Ullllllllllll Ulll Ulllll,dd,dd,dd
181,ddUddd,UUU-UUUUUUU UUUU UU,ddd,ddd,dd
182,ddUddd,Ullllll Ullll Ulllllllll Ullllllllll Ulllll,dd,dd,dd
183,ddUddd,UU U UUUUUUU UUU,dd,dd,l
184,ddUddd,UUU UUUUUUU UU,ddd,ddd,dd
185,ddUddd,UU UU UUUUUUUUUUUUUUUUUU,ddd,ddd,ddd
186,ddUddd,UUUU UUUUUUUU UU,ddd,ddd,ddd
187,ddUddd,U.U. UUUUUUUUU UU,ddd,ddd,ddd
188,ddUddd,Ulllll Ulllll Ulll Ulllll lll Ullllll Ullllll,dd,dd,l
189,ddUddd,Ulll Ulllll ll Ulllll Ulllllllll,dd,dd,l
190,ddUddd,UUUUUUUUU UU,l,l,l
191,ddUddd,UUUUUUU UUUUUUU UU,ddd,ddd,dd
192,ddUddd,UUUUUU U UUUUUU UU,ddd,ddd,ddd
193,ddUddd,UUUU UUUUU U.U.,ddd,ddd,ddd
194,ddUddd,UUUUUUUU UUUUUU UUUUUU,dd,dd,dd
195,ddUddd,UUUUUUU UU,ddd,dddd,ddd
196,ddUddd,UUUUU UUUUUUU UU,ddd,ddd,ddd
197,ddUddd,UUUUUUUUUU UUU UU,dd,dd,dd
198,ddUddd,UUUU UUUUUUUUU UU UUUUUUUU,ddd,ddd,ddd
199,ddUddd,Ulllllll Ulllllllll: U Ullllll Ullll Ulllll,dd,dd,l
200,ddUddd,Ullllllll Ulllllll Ullllll UUU Ulll Ulllll,dd,dd,l
201,ddUddd,UUUUUUUU UUUUUUUUUUU UUUUUU,dd,dd,l
202,ddUddd,Ullllll ll Ullllll lll  Ulllllllll,dd,ddd,dd
203,ddUddd,Ulll Ulllll ll Ullllll Ullllllllllll,dd,dd,l
204,ddUddd,UUUUUUU UU,ddd,ddd,ddd
205,ddUddd,UUUUUU UUUUUUUUU UU,ddd,ddd,ddd
206,ddUddd,UUUU UUUUUU UUU UUUU & UUUUUUUU,ddd,ddd,dd
207,ddUddd,UUUUUU UUU,dd,dd,dd
208,ddUddd,UUUUUUUU UUUUUU & UUUUUUUUU U.U.,ddd,ddd,dd
209,ddUddd,Ullll Ulllllllll Ullllllllll: U Ullllll Ullll Ulll,dd,dd,dd
210,ddUddd,UUUU UUUUU UU,ddd,ddd,ddd
211,ddUddd,UUUUUUUU UU,ddd,ddd,ddd
212,ddUddd,UUUUUUUU UUUUUU UU,ddd,ddd,ddd
213,ddUddd,U U UUUUUUU UUUUUUUUUUUUU U U,dd,ddd,dd
214,ddUddd,UUUUUUUU U. UUUUUUU,ddd,dddd,ddd
215,ddUddd,UUUUUUU UUUUU UU,ddd,dddd,ddd
216,ddUddd,UUUUUU UUU UUUUU UU,dd,ddd,dd
217,ddUddd,UUUUUUU UU,ddd,ddd,ddd
218,ddUddd,"Ulllll Ulll Ulllll ll Ulllllll, Ullllll Ulll lll l",l,l,l
219,ddUddd,Ullllll Ulll Ulllll lll Ulllllll,dd,dd,dd
220,ddUddd,Ulllllll' Ullllll,dd,ddd,dd
221,ddUddd,UUUUUU UUUUUU UU,dd,dd,l
222,ddUddd,UUUUUUUU UUUU UU,ddd,ddd,dd
223,ddUddd,UUUU UUUUU UU,ddd,ddd,dd
224,ddUddd,"Ulll Ulllll lll Ulllllllllll Ulllll, Ullllllllll l",dd,ddd,dd
225,ddUddd,UUUUUU UUUUU UU,ddd,dddd,ddd
226,ddUddd,UUUUUUU UU,dd,dd,d
227,ddUddd,UUUUUUUUU UU,ddd,ddd,dd
228,ddUddd,UUUU U UUUUUU UUU,ddd,ddd,ddd
229,ddUddd,UUUUUUU UU UUUUUU UUUUUUUU,dd,ddd,dd
230,ddUddd,Ulllll UU lll Ullllll Ulll Ulllllll,ddd,ddd,ddd
231,ddUddd,Ulll Ulllll lll Ull Ullllllllll lll Ulllll Ulllll,dd,dd,l
232,ddUddd,"Ullll  Ullll'l Ulllllllll Ulllll, Ulllll",d,d,l
233,ddUddd,Ulllll Ullllllllll Ullllll,dd,dd,l
234,ddUddd,Ulllllll Ullllll Ullllllllll Ulllll: U Ullllll Ull,dd,dd,l
235,ddUddd,Ulllll Ulllllllll Ulllll Ulll Ulllll lll lll Ullll,dd,dd,l
236,ddUddd,Ullllllllll Ullllll lll Ullllll,dd,dd,l
237,ddUddd,UUUUUUUUUUU UUUUUUU UU,l,l,l
238,ddUddd,UUUU/UUUUUUU UUUUUUUU UUUU UUU,dd,dd,d
239,ddUddd,UUUUUUUU/UUUUUUUU UUUUUUUUUUUU,l,l,l
240,ddUddd,UU UUUUUU UUUUUU UU,ddd,ddd,dd
241,ddUddd,UUUU UUUUUU UUUU UU,ddd,ddd,ddd
242,ddUddd,UUUUU UUUUUUU UUUU UUUUUU,ddd,ddd,dd
243,ddUddd,UUUUUUUUUUU UUUUUUUUUU UU,dd,dd,dd
244,ddUddd,UUUUUUUUU UU:UUUU UUUU UUU,ddd,ddd,ddd
245,ddUddd,UUUUUUU UU UUUU. UUUUUUU UU,ddd,ddd,ddd
246,ddUddd,UU ddd UUUUUUU U. UUUUUUUU,ddd,ddd,dd
247,ddUddd,UUU UUUU UU,dd,ddd,dd
248,ddUddd,UUUU UUUUUUUU UU,ddd,ddd,dd
249,ddUddd,UUUUUU UU,ddd,ddd,dd
250,ddUddd,UUUUUUUUUUU UU,ddd,ddd,ddd
251,ddUddd,UUUUU U. UUUUUU UU,ddd,ddd,ddd
252,ddUddd,UUUUU UUUUU UUU,l,l,l
253,ddUddd,UUUUUU UUUUUU UUUUUUUUU UU,ddd,ddd,ddd
254,ddUddd,UUU-UU UUU UUU UUUUUUU (UUUU),dd,dd,dd
255,ddUddd,Ullllll ll Ullll Ulllllll,dd,ddd,dd
256,ddUddd,Ull Ulll Ulllllllll Ullllllll Ulllll,d,d,l
257,ddUddd,Ulllllll Ullllll Ulll Ulllll lll Ulllllll Ulllllll,dd,dd,dd
